txn_id,date,amount,currency,category,vendor,department,status,is_flagged,approved_by
T000001,2024-01-11,7661.98,EUR,Investment,Vendor_57,Marketing,Flagged,False,E0039
T000002,2025-02-09,15106.69,EUR,Tax,Vendor_60,Finance,Pending,False,E0014
T000003,2024-02-09,-10337.43,USD,Payroll,Vendor_71,Operations,Pending,False,E0003
T000004,2024-02-22,-3091.05,GBP,Tax,Vendor_20,Design,Cleared,False,E0016
T000005,2025-04-28,-29251.53,EUR,Marketing,Vendor_78,Engineering,Flagged,False,E0019
T000006,2025-02-04,38627.71,EUR,Marketing,Vendor_74,Sales,Flagged,True,E0006
T000007,2024-08-09,30701.44,USD,Marketing,Vendor_29,Engineering,Cleared,True,E0007
T000008,2024-02-01,21332.96,GBP,Vendor,Vendor_50,Customer Success,Cleared,False,E0050
T000009,2024-07-11,-6846.72,USD,Investment,Vendor_36,HR,Pending,False,E0020
T000010,2024-02-07,-20989.57,USD,Investment,Vendor_43,Product,Flagged,False,E0025
T000011,2024-03-18,-33715.87,GBP,Office,Vendor_10,Sales,Flagged,True,E0001
T000012,2024-09-18,-18780.13,EUR,Vendor,Vendor_5,Customer Success,Flagged,False,E0050
T000013,2024-07-31,24745.71,GBP,Payroll,Vendor_24,Customer Success,Cleared,False,E0019
T000014,2024-08-02,9113.78,GBP,Vendor,Vendor_57,Operations,Flagged,False,E0043
T000015,2024-06-20,-30074.84,GBP,Vendor,Vendor_49,Marketing,Pending,True,E0018
T000016,2024-02-07,46440.38,EUR,Tax,Vendor_63,Design,Flagged,True,E0019
T000017,2024-06-12,48675.12,USD,SaaS,Vendor_10,Customer Success,Pending,True,E0004
T000018,2025-03-23,-32230.01,GBP,Marketing,Vendor_20,Finance,Flagged,True,E0037
T000019,2024-04-09,-15345.49,GBP,Marketing,Vendor_2,Product,Cleared,False,E0005
T000020,2024-11-24,42500.47,GBP,Refund,Vendor_22,Legal,Flagged,True,E0024
T000021,2024-01-13,-33106.93,GBP,Payroll,Vendor_45,Engineering,Pending,True,E0028
T000022,2024-08-15,-40571.41,GBP,Office,Vendor_30,Finance,Flagged,True,E0013
T000023,2025-02-01,-37794.12,USD,Marketing,Vendor_59,Legal,Pending,True,E0023
T000024,2024-05-10,23554.24,USD,SaaS,Vendor_73,Design,Flagged,False,E0011
T000025,2024-05-29,25374.3,GBP,SaaS,Vendor_21,Engineering,Cleared,False,E0033
T000026,2025-05-05,17147.36,GBP,Vendor,Vendor_46,Marketing,Cleared,False,E0033
T000027,2024-10-27,35952.6,GBP,Office,Vendor_18,Sales,Pending,True,E0026
T000028,2024-10-07,-49641.46,USD,Tax,Vendor_78,Customer Success,Cleared,True,E0022
T000029,2025-05-09,-45451.3,EUR,Payroll,Vendor_62,Finance,Flagged,True,E0009
T000030,2024-05-22,24983.57,GBP,Vendor,Vendor_30,Legal,Pending,False,E0016
T000031,2024-01-28,-25293.51,GBP,SaaS,Vendor_47,Engineering,Flagged,False,E0049
T000032,2024-03-27,-1365.61,GBP,Tax,Vendor_20,Finance,Flagged,False,E0015
T000033,2024-09-15,46028.28,EUR,Payroll,Vendor_30,Product,Flagged,True,E0026
T000034,2024-06-30,-24310.93,GBP,Marketing,Vendor_20,Design,Pending,False,E0048
T000035,2024-09-25,-48084.23,USD,Payroll,Vendor_67,Customer Success,Flagged,True,E0017
T000036,2025-02-24,-40397.12,GBP,Tax,Vendor_32,Marketing,Flagged,True,E0042
T000037,2024-01-24,1534.23,USD,Office,Vendor_8,Operations,Flagged,False,E0033
T000038,2025-03-13,-442.25,USD,Office,Vendor_75,Engineering,Pending,False,E0008
T000039,2024-10-12,-37474.27,USD,Refund,Vendor_63,Marketing,Cleared,True,E0004
T000040,2024-11-10,-44801.42,EUR,Marketing,Vendor_33,Product,Flagged,True,E0045
T000041,2024-04-28,6800.01,GBP,Vendor,Vendor_61,Sales,Pending,False,E0017
T000042,2025-03-13,21425.65,USD,Travel,Vendor_33,HR,Pending,False,E0034
T000043,2024-12-13,38966.45,GBP,Marketing,Vendor_68,Customer Success,Pending,True,E0044
T000044,2025-04-22,-1323.66,USD,Refund,Vendor_38,Operations,Flagged,False,E0025
T000045,2024-07-26,-12296.29,USD,Refund,Vendor_18,Finance,Pending,False,E0025
T000046,2025-01-08,-44194.9,EUR,Refund,Vendor_34,Sales,Cleared,True,E0001
T000047,2024-10-12,-39437.62,USD,Travel,Vendor_56,Design,Flagged,True,E0014
T000048,2024-09-13,13940.77,EUR,SaaS,Vendor_69,Legal,Flagged,False,E0019
T000049,2024-01-03,-19386.39,GBP,Travel,Vendor_47,Sales,Pending,False,E0002
T000050,2024-03-11,-10407.63,GBP,Office,Vendor_62,Product,Pending,False,E0009
T000051,2024-12-19,41803.12,EUR,Investment,Vendor_38,Design,Cleared,True,E0014
T000052,2024-12-07,24056.52,EUR,Travel,Vendor_52,Product,Flagged,False,E0005
T000053,2024-08-23,-18490.11,EUR,Investment,Vendor_9,Finance,Pending,False,E0016
T000054,2024-09-06,-11452.63,EUR,SaaS,Vendor_79,Design,Cleared,False,E0049
T000055,2024-11-09,-27978.64,USD,Office,Vendor_31,Legal,Pending,False,E0009
T000056,2025-01-14,19818.68,EUR,Payroll,Vendor_67,Design,Pending,False,E0013
T000057,2024-04-02,10008.81,GBP,Refund,Vendor_31,Operations,Flagged,False,E0002
T000058,2024-02-17,-41591.28,GBP,Refund,Vendor_39,Product,Pending,True,E0018
T000059,2025-01-07,-1055.59,GBP,Refund,Vendor_60,Engineering,Pending,False,E0049
T000060,2024-10-28,45276.43,USD,Tax,Vendor_59,Design,Cleared,True,E0039
T000061,2024-06-07,-13540.6,EUR,Office,Vendor_74,Product,Pending,False,E0015
T000062,2024-11-08,-11505.4,USD,Travel,Vendor_33,Engineering,Pending,False,E0031
T000063,2024-04-15,40852.37,EUR,Investment,Vendor_75,Sales,Cleared,True,E0034
T000064,2025-03-19,24581.83,EUR,Vendor,Vendor_64,HR,Pending,False,E0040
T000065,2024-11-23,-22208.62,USD,Payroll,Vendor_61,Marketing,Cleared,False,E0044
T000066,2024-09-14,16023.61,GBP,Refund,Vendor_59,Sales,Flagged,False,E0047
T000067,2024-08-05,45288.76,GBP,Vendor,Vendor_50,HR,Flagged,True,E0030
T000068,2024-04-02,-26840.08,USD,Marketing,Vendor_9,Sales,Cleared,False,E0017
T000069,2024-10-02,35901.15,EUR,Investment,Vendor_54,Product,Cleared,True,E0010
T000070,2024-07-16,-17230.82,EUR,SaaS,Vendor_71,Sales,Flagged,False,E0010
T000071,2025-03-06,27019.88,USD,SaaS,Vendor_63,Design,Flagged,False,E0042
T000072,2025-03-10,3402.8,EUR,SaaS,Vendor_34,Legal,Flagged,False,E0038
